candidate_feature_subset_mask,candidate_feature_subset_members,seed,stable_row_id,id,source_row_id,dev_position,population,primary_case,transition_role,signature_support,assigned_action_set,evaluated_actions,gold_label,joint_prediction,selector_prediction,joint_correct,selector_correct,correct_to_incorrect,incorrect_to_correct,abstention_objective_passed,selector_objective_passed,safety_target,safety_target_reason
00100000000000,"[""HEAD_MARGIN_SIGN_SEQUENCE""]",183,clinic_expansion__entity_swap,clinic_expansion__entity_swap,clinic_expansion__entity_swap,38,NONDISCOVERY,false,,SEEN,"[""11000""]","[""11000""]",NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,true,true,false,false,,,OPTIONAL,NO_REQUIRED_ALLOW_OR_BLOCK_CONSTRAINT
00100000000000,"[""HEAD_MARGIN_SIGN_SEQUENCE""]",183,clinic_expansion__event_swap,clinic_expansion__event_swap,clinic_expansion__event_swap,39,NONDISCOVERY,false,,UNSEEN,"[""00000""]","[""00000""]",NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,true,true,false,false,,,OPTIONAL,UNSEEN_SIGNATURE_ABSTAINS
00100000000000,"[""HEAD_MARGIN_SIGN_SEQUENCE""]",183,clinic_expansion__evidence_deletion,clinic_expansion__evidence_deletion,clinic_expansion__evidence_deletion,44,NONDISCOVERY,false,,SEEN,"[""11000""]","[""11000""]",NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,true,true,false,false,,,OPTIONAL,NO_REQUIRED_ALLOW_OR_BLOCK_CONSTRAINT
00100000000000,"[""HEAD_MARGIN_SIGN_SEQUENCE""]",183,clinic_expansion__evidence_truncation,clinic_expansion__evidence_truncation,clinic_expansion__evidence_truncation,45,NONDISCOVERY,false,,SEEN,"[""11000""]","[""11000""]",NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,true,true,false,false,,,OPTIONAL,NO_REQUIRED_ALLOW_OR_BLOCK_CONSTRAINT
00100000000000,"[""HEAD_MARGIN_SIGN_SEQUENCE""]",183,clinic_expansion__irrelevant_evidence,clinic_expansion__irrelevant_evidence,clinic_expansion__irrelevant_evidence,46,NONDISCOVERY,false,,SEEN,"[""11000""]","[""11000""]",NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,true,true,false,false,,,OPTIONAL,NO_REQUIRED_ALLOW_OR_BLOCK_CONSTRAINT
00100000000000,"[""HEAD_MARGIN_SIGN_SEQUENCE""]",183,clinic_expansion__location_swap,clinic_expansion__location_swap,clinic_expansion__location_swap,40,NONDISCOVERY,false,,SEEN,"[""00000""]","[""00000""]",NOT_ENTITLED,SUPPORT,SUPPORT,false,false,false,false,,,OPTIONAL,NO_REQUIRED_ALLOW_OR_BLOCK_CONSTRAINT
00100000000000,"[""HEAD_MARGIN_SIGN_SEQUENCE""]",183,clinic_expansion__none,clinic_expansion__none,clinic_expansion__none,36,NONDISCOVERY,false,,UNSEEN,"[""00000""]","[""00000""]",SUPPORT,NOT_ENTITLED,NOT_ENTITLED,false,false,false,false,,,OPTIONAL,UNSEEN_SIGNATURE_ABSTAINS
00100000000000,"[""HEAD_MARGIN_SIGN_SEQUENCE""]",183,clinic_expansion__paraphrase,clinic_expansion__paraphrase,clinic_expansion__paraphrase,37,NONDISCOVERY,false,,SEEN,"[""00000""]","[""00000""]",SUPPORT,SUPPORT,SUPPORT,true,true,false,false,,,OPTIONAL,NO_REQUIRED_ALLOW_OR_BLOCK_CONSTRAINT
00100000000000,"[""HEAD_MARGIN_SIGN_SEQUENCE""]",183,clinic_expansion__polarity_flip,clinic_expansion__polarity_flip,clinic_expansion__polarity_flip,47,NONDISCOVERY,false,,SEEN,"[""11000""]","[""11000""]",REFUTE,REFUTE,REFUTE,true,true,false,false,,,OPTIONAL,NO_REQUIRED_ALLOW_OR_BLOCK_CONSTRAINT
00100000000000,"[""HEAD_MARGIN_SIGN_SEQUENCE""]",183,clinic_expansion__predicate_swap,clinic_expansion__predicate_swap,clinic_expansion__predicate_swap,43,NONDISCOVERY,false,,UNSEEN,"[""00000""]","[""00000""]",NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,true,true,false,false,,,OPTIONAL,UNSEEN_SIGNATURE_ABSTAINS
