row_type,seed,intervention_type,intervention_group,target,score,direction_interpretation,n,gold_SUPPORT,gold_REFUTE,gold_NOT_ENTITLED,pred_SUPPORT,pred_REFUTE,pred_NOT_ENTITLED,classifier_entitled,classifier_error,false_entitled,false_support,false_refute,opportunity_rate,false_entitled_rate,not_entitled_recall,entitled_accuracy,mean_frame_prob,mean_predicate_coverage_prob,mean_sufficiency_prob,mean_entitlement_prob,mean_polarity_margin,mean_frame_fail_score,mean_predicate_fail_score,mean_sufficiency_fail_score,mean_entitlement_fail_score,mean_polarity_weak_score,frame_prob_state,predicate_coverage_prob_state,sufficiency_prob_state,entitlement_prob_state,positives,negatives,mean_score_positive,mean_score_negative,mean_pass_probability_positive,raw_auc,expected_direction_auc,inverted_auc,auc_defined
opportunity,2,entity_swap,match_perturbed,not_applicable,not_applicable,not_applicable,60,0,0,60,0,0,60,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0018192151881521567,0.016772452012325325,0.9992691000302633,0.00012332664102624827,3.1295753200848897,0.9981807848118478,0.9832275479876746,0.0007308999697367351,0.9998766733589738,-3.1295753200848897,no_opportunity,no_opportunity,no_opportunity,no_opportunity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,2,event_swap,match_perturbed,not_applicable,not_applicable,not_applicable,60,0,0,60,1,0,59,1,1,1,1,0,0.016666666666666666,0.016666666666666666,0.9833333333333333,0.0,0.017550138337537647,0.028514802118297666,0.9993262201547622,0.011743370553159594,3.5066081364949544,0.9824498616624624,0.9714851978817023,0.0006737798452377319,0.9882566294468405,-3.5066081364949544,correct_rejection,correct_rejection,confidently_inverted,correct_rejection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,2,evidence_deletion,presence_removed,not_applicable,not_applicable,not_applicable,60,0,0,60,0,0,60,0,0,0,0,0,0.0,0.0,1.0,0.0,0.9908745219310124,0.9952354907989502,0.0005490368998531873,0.0005416956468252465,-4.612170950571696,0.009125478068987529,0.0047645092010498045,0.9994509631001468,0.9994583043531747,4.612170950571696,no_opportunity,no_opportunity,no_opportunity,no_opportunity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,2,evidence_truncation,presence_removed,not_applicable,not_applicable,not_applicable,60,0,0,60,0,0,60,0,0,0,0,0,0.0,0.0,1.0,0.0,0.9855598459641138,0.9953448216120402,0.00038450025361574567,0.0003773590195730018,-4.441540201505025,0.01444015403588613,0.004655178387959798,0.9996154997463843,0.999622640980427,4.441540201505025,no_opportunity,no_opportunity,no_opportunity,no_opportunity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,2,irrelevant_evidence,presence_removed,not_applicable,not_applicable,not_applicable,60,0,0,60,0,0,60,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0015255107447349778,0.001966022065607831,0.00036609801657808323,1.0933110731562816e-09,-0.3043528209129969,0.998474489255265,0.9980339779343922,0.999633901983422,0.999999998906689,0.3043528209129969,no_opportunity,no_opportunity,no_opportunity,no_opportunity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,2,location_swap,match_perturbed,not_applicable,not_applicable,not_applicable,60,0,0,60,3,0,57,3,3,3,3,0,0.05,0.05,0.95,0.0,0.03235868833532247,0.9571586664766073,0.9966278682152431,0.031706216086846935,4.304189606507619,0.9676413116646775,0.04284133352339268,0.003372131784756978,0.968293783913153,-4.304189606507619,correct_rejection,confidently_inverted,confidently_inverted,correct_rejection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,2,none,controls,not_applicable,not_applicable,not_applicable,60,31,29,0,31,29,0,60,0,0,0,0,1.0,0.0,0.0,1.0,0.9428255846103032,0.9952450573444367,0.9883018831411997,0.9273938308159511,-0.15045010248819987,0.05717441538969676,0.004754942655563354,0.011698116858800253,0.07260616918404897,0.15045010248819987,no_opportunity,no_opportunity,no_opportunity,no_opportunity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,2,paraphrase,controls,not_applicable,not_applicable,not_applicable,60,31,29,0,31,29,0,60,0,0,0,0,1.0,0.0,0.0,1.0,0.9439238478740056,0.9955080360174179,0.9880637347698211,0.928475828965505,-0.141157062848409,0.056076152125994365,0.004491963982582092,0.011936265230178832,0.07152417103449503,0.141157062848409,no_opportunity,no_opportunity,no_opportunity,no_opportunity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,2,polarity_flip,controls,not_applicable,not_applicable,not_applicable,60,29,31,0,29,31,0,60,0,0,0,0,1.0,0.0,0.0,1.0,0.942970535159111,0.9956945528586706,0.9881790598233541,0.9278103311856588,-0.5340077797571818,0.05702946484088898,0.004305447141329448,0.011820940176645915,0.07218966881434123,0.5340077797571818,no_opportunity,no_opportunity,no_opportunity,no_opportunity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,2,predicate_swap,match_perturbed,not_applicable,not_applicable,not_applicable,60,0,0,60,0,0,60,0,0,0,0,0,0.0,0.0,1.0,0.0,0.9402137090762456,0.008261919677412759,0.9990080306927364,0.007693726249272004,3.7199013431866965,0.05978629092375438,0.9917380803225873,0.0009919693072636922,0.992306273750728,-3.7199013431866965,no_opportunity,no_opportunity,no_opportunity,no_opportunity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
