record_type,seed,stable_row_id,direction,transition_role,subtype,coalition_mask,coalition_members,criterion,numerator,denominator,passed,details
identity_minimal_primitive,184,generated_fact_039__paraphrase,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,recovery,RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,10000,"[""FRAME""]",donor_tail_status_reproduced_no_proper_subset,1,1,true,"{""coalition_tail_status"":""PERSISTENT_NOT_ENTITLED"",""donor_tail_status"":""PERSISTENT_NOT_ENTITLED"",""recipient_tail_status"":""STABLE_SUPPORT""}"
identity_minimal_primitive,184,generated_fact_039__paraphrase,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,recovery,RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,10000,"[""FRAME""]",donor_tail_status_reproduced_no_proper_subset,1,1,true,"{""coalition_tail_status"":""STABLE_SUPPORT"",""donor_tail_status"":""STABLE_SUPPORT"",""recipient_tail_status"":""PERSISTENT_NOT_ENTITLED""}"
identity_minimal_primitive,184,generated_fact_083__paraphrase,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,harm,POLARITY_OVERRIDE_ROWS,00001,"[""NEGATIVE_ENERGY""]",donor_tail_status_reproduced_no_proper_subset,1,1,true,"{""coalition_tail_status"":""STABLE_SUPPORT"",""donor_tail_status"":""STABLE_SUPPORT"",""recipient_tail_status"":""UNSTABLE""}"
identity_minimal_primitive,184,generated_fact_083__paraphrase,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,harm,POLARITY_OVERRIDE_ROWS,00010,"[""POSITIVE_ENERGY""]",donor_tail_status_reproduced_no_proper_subset,1,1,true,"{""coalition_tail_status"":""STABLE_SUPPORT"",""donor_tail_status"":""STABLE_SUPPORT"",""recipient_tail_status"":""UNSTABLE""}"
identity_minimal_primitive,184,generated_fact_083__paraphrase,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,harm,POLARITY_OVERRIDE_ROWS,00011,"[""POSITIVE_ENERGY"",""NEGATIVE_ENERGY""]",donor_tail_status_reproduced_no_proper_subset,1,1,true,"{""coalition_tail_status"":""UNSTABLE"",""donor_tail_status"":""UNSTABLE"",""recipient_tail_status"":""STABLE_SUPPORT""}"
identity_minimal_primitive,184,generated_fact_115__paraphrase,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,harm,POLARITY_OVERRIDE_ROWS,00001,"[""NEGATIVE_ENERGY""]",donor_tail_status_reproduced_no_proper_subset,1,1,true,"{""coalition_tail_status"":""STABLE_SUPPORT"",""donor_tail_status"":""STABLE_SUPPORT"",""recipient_tail_status"":""UNSTABLE""}"
identity_minimal_primitive,184,generated_fact_115__paraphrase,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,harm,POLARITY_OVERRIDE_ROWS,00010,"[""POSITIVE_ENERGY""]",donor_tail_status_reproduced_no_proper_subset,1,1,true,"{""coalition_tail_status"":""STABLE_SUPPORT"",""donor_tail_status"":""STABLE_SUPPORT"",""recipient_tail_status"":""UNSTABLE""}"
identity_minimal_primitive,184,generated_fact_115__paraphrase,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,harm,POLARITY_OVERRIDE_ROWS,00011,"[""POSITIVE_ENERGY"",""NEGATIVE_ENERGY""]",donor_tail_status_reproduced_no_proper_subset,1,1,true,"{""coalition_tail_status"":""UNSTABLE"",""donor_tail_status"":""UNSTABLE"",""recipient_tail_status"":""STABLE_SUPPORT""}"
identity_minimal_primitive,184,generated_fact_118__paraphrase,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,recovery,RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,11000,"[""FRAME"",""PREDICATE""]",donor_tail_status_reproduced_no_proper_subset,1,1,true,"{""coalition_tail_status"":""PERSISTENT_NOT_ENTITLED"",""donor_tail_status"":""PERSISTENT_NOT_ENTITLED"",""recipient_tail_status"":""STABLE_SUPPORT""}"
identity_minimal_primitive,184,generated_fact_118__paraphrase,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,recovery,RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,11000,"[""FRAME"",""PREDICATE""]",donor_tail_status_reproduced_no_proper_subset,1,1,true,"{""coalition_tail_status"":""STABLE_SUPPORT"",""donor_tail_status"":""STABLE_SUPPORT"",""recipient_tail_status"":""PERSISTENT_NOT_ENTITLED""}"
